"","Province","X","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap","cluster"
"1","Banteay Meanchey",3.5,2009.5,5782.74090105167,1359,0,596328.833333333,728,7795.16666666667,21188.3333333333,5.82691560412872e-07,162.655583267289,0.614684349519561,0.829657159458862,0.00518567098210442,0.270993057267919,0.290563375473284,3.86584070785071,0.00892606075243265,2.53164452609761,0.00124798729568646,25.876439242734,33.9798112157438,27.3947684831435,"3"
"2","Battambang",9.5,2009.5,8854.52358347833,6681.16666666667,-58.6666666666667,870208.666666667,1165.5,14994.1666666667,15892.6666666667,9.24019212962962e-06,497.283132774804,0.686523719115889,0.746687666995337,0.00719896668528526,0.251285689710416,0.130506188651018,4.76294521693611,0.0283136220332236,2.60876851851852,0.00213045038507643,27.2000623109989,64.4270794014624,24.67777985651,"3"
"3","Kampong Cham",15.5,2009.5,7988.99632795167,2981.5,0,1615786.33333333,2435.5,26903.3333333333,12519.3333333333,0.000901126013981153,353.759413658226,0.666041482433923,0.816790822716385,0.00828351158301012,0.474686916543917,0.195409941437149,3.92467944933341,0.00832616614255937,2.62567889057895,0.00138226181284172,26.2035482092845,63.4283873892952,33.5721431954415,"8"
"4","Kampong Chhnang",21.5,2009.5,5212.23434114833,7202.66666666667,-46,484108.333333333,1112.5,7217.33333333333,4122,0.000200870175432008,208.198132928141,0.673873784089157,0.880019736766883,0.014040677781361,0.494576634740476,0.336347247177567,5.52746728720079,0.00411630559901541,2.76866229583621,0.00164271949473539,29.1373015648275,137.112500394159,25.2427641077999,"6"
"5","Kampong Speu",27.5,2009.5,5240.144092985,17832,-0.166666666666667,702179.666666667,1104.16666666667,5171.33333333333,3428.83333333333,0.00204573062008364,267.994538722209,0.659137131140143,0.915949422882673,0.00629938273566228,0.552620423556505,0.317488873872976,5.9321150385276,0.00342584813263398,3.22469934640523,0.00196073940567989,61.6974343430994,78.0171378412497,23.2646567741961,"6"
"6","Kampong Thom",33.5,2009.5,11583.574132925,53711,-1193.83333333333,648665.833333333,1451.5,9859.33333333333,7321.5,0.017852850593713,265.948415703472,0.646001954769617,0.860532960296513,0.00643828112130516,0.430604733526745,0.32675065499578,4.75838121223514,0.0148528498332374,2.7365763222285,0.00151403034091353,23.0469787322856,133.608618139098,35.7644435437126,"6"
"7","Kampot",39.5,2009.5,3350.693510975,6004.66666666667,-37,564414.5,959.333333333333,9293,3906,2.82303107705407e-07,354.712372966106,0.721817851063546,0.892166305395336,0.00764367952947029,0.568735583637023,0.638908060944781,3.12116904414431,0.0223328635759927,1.87216475095785,0.0019912846853712,37.1054956826115,20.8346532453106,25.4155533266009,"9"
"8","Kandal",45.5,2009.5,3124.47562474333,270.333333333333,-1.33333333333333,1152050.16666667,1799.83333333333,9987.33333333333,5325.16666666667,0,594.92336203225,0.699835415780166,0.743948749980893,0.0185088163594906,0.514201636436276,0.118693916042209,2.9864766195583,0.008231042291737,1.59807272232587,0.00152106488582789,7.38416330393028,60.4879311073604,20.2995641933554,"5"
"9","Kep",51.5,2009.5,160.338038186667,114.666666666667,0,34022.6666666667,72,379.666666666667,235.666666666667,0,251.217753027136,0.662882256957778,0.878437282205556,0.00382776969222222,0.52050599409,0.7059498375,3.21611111241667,0.00277966463333333,2.13083333333333,0.00182771261944444,28.5505250957333,3.5491101108,5.81687178666667,"7"
"10","Koh Kong",57.5,2009.5,10106.0002655383,97123.6666666667,-144.166666666667,98247,285.166666666667,1188.16666666667,1218.83333333333,0.00287809294642857,294.896099673277,0.552233689428969,0.779767202900768,0.00718812108984861,0.195895051634196,0.200267815758355,15.787068074156,0.0518244101066061,3.27773199023199,0.00426018288398781,145.281932011593,16.2667495916608,42.8440961322666,"1"
"11","Kracheh",63.5,2009.5,10953.1559138917,84656,-1320.5,295921.333333333,705.666666666667,3430.66666666667,1375.5,0.160895644063679,136.599619092246,0.625370163771182,0.848266152491441,0.00622737906361466,0.371817017659023,0.336455361751,8.48050648232881,0.00402271630767857,4.91624034552845,0.00267262685947739,47.2827550684401,65.9849352555427,30.8079729601688,"1"
"12","Mondul Kiri",69.5,2009.5,12139.3518522417,129976.333333333,-110.833333333333,54556.5,259.333333333333,1130.5,396.333333333333,0.6886619193825,9.01533415542282,0.60347769608476,0.815863453708107,0.00845833123617725,0.152693157919913,0.438439271172071,21.4889782061272,0.0146858875085152,6.69087301587302,0.00230833988888495,342.334293917808,29.7633748486235,37.8188568236495,"2"
"13","Otdar Meanchey",75.5,2009.5,6111.02069972667,27461.3333333333,-367.166666666667,180956.166666667,449.5,5648.33333333333,3665.66666666667,0.00409937982345294,57.863707351654,0.58996359621054,0.880432571083381,0.00774995084108875,0.19077224316782,0.309698893426227,7.24219056499611,0.00818956913782772,4.93878066378066,0.00250425508865823,83.8867163670274,19.7115915857331,43.5031479444733,"1"
"14","Pailin",81.5,2009.5,964.74484144,2882.83333333333,-4.16666666666667,57635.6666666667,254.833333333333,2424.5,1756.16666666667,0.000169011222222222,65.6638714920307,0.637393138083402,0.697672911172515,0.00776326621544202,0.148823231750319,0.0400208467616959,4.06944436113889,0.00877064169085082,2.05138888888889,0.00968122902989892,257.3153061125,10.6405403804167,12.5281788480278,"4"
"15","Preah Sihanouk",93.5,2009.5,1431.928791735,6067.66666666667,-42.6666666666667,137785.666666667,276.833333333333,2648.5,1734.66666666667,0.00108223606734007,289.022621238548,0.68597402988014,0.637379850862886,0.0089155353666873,0.290508083192876,0.263666295362337,4.04831971679159,0.0316436764798236,1.69082862943157,0.00364544182594518,65.446507710823,5.21521115502463,25.8179063645827,"7"
"16","Preah Vihear",99.5,2009.5,13219.46034615,126547.166666667,-52.1666666666667,152443,518.333333333333,2008.16666666667,773.833333333333,0.122194760677961,27.5136233581641,0.646599358623571,0.957546239454767,0.00725103127439402,0.243848722852887,0.636168284076181,12.1095284361019,0.000487571303030303,3.26251611863314,0.00209171939342072,88.2400332130319,54.3201739646958,39.7438917448526,"1"
"17","Prey Veng",105.5,2009.5,4509.577760595,123,0,1083465.66666667,1835.16666666667,24070.1666666667,11793.8333333333,0.00240149361255157,291.872168989269,0.691961753897001,0.903666693376141,0.00778749987492671,0.423982286004085,0.51018273611857,4.27700042614559,0.00598349497255446,2.31115376984127,0.000778968536350997,7.18485016194444,33.8539258451202,28.441842879329,"8"
"18","Pursat",111.5,2009.5,11553.88115279,83060,-190.666666666667,418177.666666667,836.666666666667,7479.66666666667,4402.33333333333,0.0250717243274386,176.530520727575,0.645816047167228,0.874847941626509,0.0104853229573032,0.360656266917338,0.32623981319787,6.59834715459661,0.0071610601313437,3.03651379038613,0.00191482511762168,89.8963653390531,115.034622907832,28.2378693422175,"6"
"19","Ratanak Kiri",117.5,2009.5,9073.832126405,73278.8333333333,-293.666666666667,125198,445.166666666667,1502,743.333333333333,0.750133080783498,24.2402195280494,0.435460354254119,0.947931427278678,0.00389946638957471,0.269331802691267,0.519668784222177,21.2568656466267,0.000537834286237318,3.53435406816391,0.00385402585758353,189.954793584749,37.3550907837882,30.8905274139648,"2"
"20","Siem Reap",123.5,2009.5,10124.7395125733,38670.6666666667,-287.333333333333,856312,1523.33333333333,8856.83333333333,12306.6666666667,0.000377312169798951,211.350581740446,0.626062412503959,0.855823872092135,0.00772742661689142,0.339360145791123,0.331264242554301,8.10284181017233,0.0105788735447112,2.87567683413078,0.00103407565100554,30.7453594979924,96.7609759642074,34.0630083226922,"6"
"21","Stung Treng",129.5,2009.5,11662.6970202067,112317.666666667,-461.666666666667,104426.333333333,122.333333333333,730,529.333333333333,0.11439327535164,24.7356664430853,0.57659264243249,0.920060309201742,0.00776944730631763,0.247898171508102,0.494453921605571,14.9224475034981,0.0081550572612914,5.35065922920893,0.00213951979685196,85.3056416197228,40.94575351995,32.6765490009709,"1"
"22","Svay Rieng",135.5,2009.5,2449.76600642,564.5,0,489720.333333333,592.666666666667,11370.6666666667,3050.66666666667,0,262.135949523294,0.698354120281436,0.872042351323053,0.00681973055473897,0.346180919154808,0.635107336759171,3.60917720771498,0.00459157153834356,2.02709519987572,0.000835491650794352,5.11859227584932,8.54728822115386,21.8617663381809,"9"
"23","Takeo",141.5,2009.5,3304.90592597333,122,0,937075.5,1714.83333333333,15160.5,7939.66666666667,4.78551754385965e-06,335.902597286155,0.730304224873422,0.898422611265208,0.0171748638635094,0.574818439162523,0.471221021369448,3.00074416892241,0.00584865661056624,2.28000040330712,0.00149076564025967,12.3013783647037,28.2562021475573,23.2749967395258,"5"
