"","(Intercept)","for_rem","prod_cass","prod_corn","prod_rice","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"30",22.5294302228374,-0.000225642951508351,NA,0.00594973981431957,-0.02497967527811,0.0334049210763137,NA,NA,5,-113.92585098945,241.851701978901,0,0.423307930669609
"26",22.6953534360326,-0.000227039154912821,NA,NA,-0.0230227303556238,0.0354660072290576,NA,NA,4,-116.604272629884,243.708545259768,1.85684328086705,0.167281536831489
"62",23.027815454701,-0.00023182879427785,NA,0.00667558267826373,-0.026723738864183,0.035292696259385,0.000158493451236376,NA,6,-113.184682124932,244.369364249865,2.51766227096377,0.120213430108307
"94",22.7963308317781,-0.000228561870271043,NA,0.00602707828133861,-0.0245845435228339,0.0328450488787795,NA,9.13594807794765e-05,6,-113.878297875603,245.756595751206,3.90489377230557,0.0600785574414344
"32",22.3780967998124,-0.000223875210548679,0.000473072914256482,0.00572584802423762,-0.0248129757883784,0.0331281874922642,NA,NA,6,-113.896693563,245.793387126001,3.94168514710015,0.0589834743637361
"28",22.1160960215699,-0.000220337002795203,0.00193550181251715,NA,-0.0227685492565646,0.034145173209961,NA,NA,5,-116.025407105628,246.050814211257,4.19911223235579,0.0518597918552982
"58",22.9724774279776,-0.000230416123071886,NA,NA,-0.0237712353962716,0.0365152609408497,8.38909924134135e-05,NA,5,-116.386404249013,246.772808498027,4.92110651912606,0.0361452890410288
"60",22.2836724389174,-0.000222840410652701,0.00435315319938071,NA,-0.0249356744158294,0.0359655556984528,0.00027074240740531,NA,6,-114.57884926923,247.157698538461,5.3059965595599,0.0298176828844432
"90",22.8076155942291,-0.000228266090303076,NA,NA,-0.0228803357419808,0.0352667105120789,NA,3.83491543679684e-05,5,-116.596337926372,247.192675852743,5.34097387384256,0.029300745101076
"64",22.4721882220961,-0.000225561430339449,0.00274517611182525,0.00577227545765067,-0.0268655484988421,0.0349245612811567,0.000259720970870969,NA,7,-112.530261792059,247.675908199503,5.82420622060209,0.0230115617035783
