"","tot_pop","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","land_confl","crim_case","Pax_migt_in","Pax_migt_out","mean_elev","dist_border","dist_provCap"
"tot_pop",1,-0.332451963231495,0.416631803694404,0.191397276113203,-0.30881756474848,0.0399594423424785,0.151695943991451,-0.27617908546826,-0.364229150516931,0.0960433062342384,0.000645233749050967,0.317941761083972,-0.102921231373756,0.386458697348178,0.35122011503483,-0.336614161598377,0.140005662153552,-0.0961918042265218
"prop_ind",-0.332451963231495,1,-0.222410291546377,-0.357273019052046,0.15314260271592,-0.0439670698807445,-0.159967487063641,0.204353645021149,0.431859012856277,-0.040203852420665,0.211658253349474,-0.0752870771189842,0.127694181591666,-0.124650532215767,-0.136384068641624,0.470485347884593,-0.178641279781611,0.059899569837669
"pop_den",0.416631803694404,-0.222410291546377,1,0.299971059739211,-0.459072872040928,0.15561778173439,0.204356428773442,-0.260557617792658,-0.349367637792274,0.348455107319111,-0.212817044592335,-0.0271647408107242,-0.117518755314934,0.105150014108301,0.053718265781174,-0.310999337664399,0.00647250892050508,-0.387064379027141
"M6_24_sch",0.191397276113203,-0.357273019052046,0.299971059739211,1,-0.0910371451940866,0.00980004304393646,0.108103561350508,0.0708427946850291,-0.37278090998078,0.0269568186729448,-0.208647926309061,0.0369550061934772,-0.0928478874873848,-0.0374353834209731,-0.0616432067199059,-0.202452768512443,0.0664471403872225,-0.207002507312146
"propPrimSec",-0.30881756474848,0.15314260271592,-0.459072872040928,-0.0910371451940866,1,-0.262529605268213,0.0896059761529368,0.498594941279687,0.242496635111946,-0.321328626634366,0.141193866604312,0.0517591274034287,0.00656405755994966,-0.175570082304898,-0.210202776580348,0.0247830266347262,0.0774569907475516,0.265222152186076
"propSecSec",0.0399594423424785,-0.0439670698807445,0.15561778173439,0.00980004304393646,-0.262529605268213,1,0.0174051751173722,-0.144064445389194,-0.0792459842334594,0.0484135620629816,-0.0473419464469413,-0.0150171254455109,-0.0218899082999084,0.0354729536724725,0.0330355226719485,-0.0181867555964562,0.0445067329709494,-0.0910572872620229
"Les1_R_Land",0.151695943991451,-0.159967487063641,0.204356428773442,0.108103561350508,0.0896059761529368,0.0174051751173722,1,0.0091668029065757,-0.226615669218527,-0.0831478813656967,-0.110420994324301,-0.014194418531893,-0.092944658641708,0.0742128949563741,0.0110078351025228,-0.208726948540419,0.200603394429828,-0.138013192872301
"pig_fam",-0.27617908546826,0.204353645021149,-0.260557617792658,0.0708427946850291,0.498594941279687,-0.144064445389194,0.0091668029065757,1,0.190067698414111,-0.1438370693143,0.0584768059775944,-0.0247563127877022,-0.0264235850969506,-0.20649199887744,-0.209132839547897,0.024314694722065,-0.104010300727147,0.148796288759952
"dist_sch",-0.364229150516931,0.431859012856277,-0.349367637792274,-0.37278090998078,0.242496635111946,-0.0792459842334594,-0.226615669218527,0.190067698414111,1,-0.0650504007165345,0.359462946513673,-0.0616509461494157,0.069308779203928,-0.118847595227962,-0.14649345992522,0.361981609566248,-0.144144755474895,0.383214887737667
"garbage",0.0960433062342384,-0.040203852420665,0.348455107319111,0.0269568186729448,-0.321328626634366,0.0484135620629816,-0.0831478813656967,-0.1438370693143,-0.0650504007165345,1,-0.0599402612232262,-0.0333687578689272,0.0433033419923375,0.0452937260619592,0.0200480299781463,0.000953359452761505,-0.0454374103080854,-0.13355345320263
"KM_Comm",0.000645233749050967,0.211658253349474,-0.212817044592335,-0.208647926309061,0.141193866604312,-0.0473419464469413,-0.110420994324301,0.0584768059775944,0.359462946513673,-0.0599402612232262,1,0.0900056294722862,0.0305533230525726,0.04493536995008,0.00282191563771036,0.112585883027461,-0.0457450125496143,0.239441517715728
"land_confl",0.317941761083972,-0.0752870771189842,-0.0271647408107242,0.0369550061934772,0.0517591274034287,-0.0150171254455109,-0.014194418531893,-0.0247563127877022,-0.0616509461494157,-0.0333687578689272,0.0900056294722862,1,0.273837118038782,0.129375281663707,0.0523391816459473,-0.0581953804237393,0.043416907166337,0.072587182987857
"crim_case",-0.102921231373756,0.127694181591666,-0.117518755314934,-0.0928478874873848,0.00656405755994966,-0.0218899082999084,-0.092944658641708,-0.0264235850969506,0.069308779203928,0.0433033419923375,0.0305533230525726,0.273837118038782,1,-0.0295227610288241,-0.049319169449258,0.164672250850999,-0.12892493685474,0.0208673843788217
"Pax_migt_in",0.386458697348178,-0.124650532215767,0.105150014108301,-0.0374353834209731,-0.175570082304898,0.0354729536724725,0.0742128949563741,-0.20649199887744,-0.118847595227962,0.0452937260619592,0.04493536995008,0.129375281663707,-0.0295227610288241,1,0.421227877570846,-0.0951542968899957,0.013877632230394,0.00580265490530294
"Pax_migt_out",0.35122011503483,-0.136384068641624,0.053718265781174,-0.0616432067199059,-0.210202776580348,0.0330355226719485,0.0110078351025228,-0.209132839547897,-0.14649345992522,0.0200480299781463,0.00282191563771036,0.0523391816459473,-0.049319169449258,0.421227877570846,1,-0.123328223470255,0.0176586977645983,-0.0251788613788452
"mean_elev",-0.336614161598377,0.470485347884593,-0.310999337664399,-0.202452768512443,0.0247830266347262,-0.0181867555964562,-0.208726948540419,0.024314694722065,0.361981609566248,0.000953359452761505,0.112585883027461,-0.0581953804237393,0.164672250850999,-0.0951542968899957,-0.123328223470255,1,-0.256722802251596,0.153316515474203
"dist_border",0.140005662153552,-0.178641279781611,0.00647250892050508,0.0664471403872225,0.0774569907475516,0.0445067329709494,0.200603394429828,-0.104010300727147,-0.144144755474895,-0.0454374103080854,-0.0457450125496143,0.043416907166337,-0.12892493685474,0.013877632230394,0.0176586977645983,-0.256722802251596,1,-0.0544689094338794
"dist_provCap",-0.0961918042265218,0.059899569837669,-0.387064379027141,-0.207002507312146,0.265222152186076,-0.0910572872620229,-0.138013192872301,0.148796288759952,0.383214887737667,-0.13355345320263,0.239441517715728,0.072587182987857,0.0208673843788217,0.00580265490530294,-0.0251788613788452,0.153316515474203,-0.0544689094338794,1
